R,W,AB
Dunn,2,72000000
Dunn,2,72000000
Dunn,2,72000000
Dunn,2,72000000
Dunn,2,72000000
Dunn,2,72000000
Dunn,2,72000000
Dunn,2,72000000
Dunn,2,72000000
Dunn,2,72000000
Dunn,2,72000000
Dunn,2,72000000
Eddy,1,39000000
Eddy,1,39000000
Eddy,1,39000000
Eddy,1,39000000
Eddy,1,39000000
Eddy,1,39000000
Eddy,1,39000000
Eddy,1,39000000
Eddy,1,39000000
Eddy,1,39000000
Eddy,1,39000000
Eddy,1,39000000
Eddy,2,72000000
Eddy,2,72000000
Eddy,2,72000000
Eddy,2,72000000
Eddy,2,72000000
Eddy,2,72000000
Eddy,2,72000000
Eddy,2,72000000
Eddy,2,72000000
Eddy,2,72000000
Eddy,2,72000000
Eddy,2,72000000
Emmons,1,39000000
Emmons,1,39000000
Emmons,1,39000000
Emmons,1,39000000
Emmons,1,39000000
Emmons,1,39000000
Emmons,1,39000000
Emmons,1,39000000
Emmons,1,39000000
Emmons,1,39000000
Emmons,1,39000000
Emmons,1,39000000
Emmons,2,72000000
Emmons,2,72000000
Emmons,2,72000000
Emmons,2,72000000
Emmons,2,72000000
Emmons,2,72000000
Emmons,2,72000000
Emmons,2,72000000
Emmons,2,72000000
Emmons,2,72000000
Emmons,2,72000000
Emmons,2,72000000
Foster,1,39000000
Foster,1,39000000
Foster,1,39000000
Foster,1,39000000
Foster,1,39000000
Foster,1,39000000
Foster,1,39000000
Foster,1,39000000
Foster,1,39000000
Foster,1,39000000
Foster,1,39000000
Foster,1,39000000
Foster,2,72000000
Foster,2,72000000
Foster,2,72000000
Foster,2,72000000
Foster,2,72000000
Foster,2,72000000
Foster,2,72000000
Foster,2,72000000
Foster,2,72000000
Foster,2,72000000
Foster,2,72000000
Foster,2,72000000
GoldenValley,1,39000000
GoldenValley,1,39000000
GoldenValley,1,39000000
GoldenValley,1,39000000
GoldenValley,1,39000000
GoldenValley,1,39000000
GoldenValley,1,39000000
GoldenValley,1,39000000
GoldenValley,1,39000000
GoldenValley,1,39000000
GoldenValley,1,39000000
GoldenValley,1,39000000
GoldenValley,2,72000000
GoldenValley,2,72000000
GoldenValley,2,72000000
GoldenValley,2,72000000
GoldenValley,2,72000000
GoldenValley,2,72000000
GoldenValley,2,72000000
GoldenValley,2,72000000
GoldenValley,2,72000000
GoldenValley,2,72000000
GoldenValley,2,72000000
GoldenValley,2,72000000
GrandForks,1,39000000
GrandForks,1,39000000
GrandForks,1,39000000
GrandForks,1,39000000
GrandForks,1,39000000
GrandForks,1,39000000
GrandForks,1,39000000
GrandForks,1,39000000
GrandForks,1,39000000
GrandForks,1,39000000
GrandForks,1,39000000
GrandForks,1,39000000
GrandForks,2,72000000
GrandForks,2,72000000
GrandForks,2,72000000
GrandForks,2,72000000
GrandForks,2,72000000
GrandForks,2,72000000
GrandForks,2,72000000
GrandForks,2,72000000
GrandForks,2,72000000
GrandForks,2,72000000
GrandForks,2,72000000
GrandForks,2,72000000
Grant,1,39000000
Grant,1,39000000
Grant,1,39000000
Grant,1,39000000
Grant,1,39000000
Grant,1,39000000
Grant,1,39000000
Grant,1,39000000
Grant,1,39000000
Grant,1,39000000
Grant,1,39000000
Grant,1,39000000
Grant,2,72000000
Grant,2,72000000
Grant,2,72000000
Grant,2,72000000
Grant,2,72000000
Grant,2,72000000
Grant,2,72000000
Grant,2,72000000
Grant,2,72000000
Grant,2,72000000
Grant,2,72000000
Grant,2,72000000
Griggs,1,39000000
Griggs,1,39000000
Griggs,1,39000000
Griggs,1,39000000
Griggs,1,39000000
Griggs,1,39000000
Griggs,1,39000000
Griggs,1,39000000
Griggs,1,39000000
Griggs,1,39000000
Griggs,1,39000000
Griggs,1,39000000
Griggs,2,72000000
Griggs,2,72000000
Griggs,2,72000000
Griggs,2,72000000
Griggs,2,72000000
Griggs,2,72000000
Griggs,2,72000000
